id,jenis,judul,mapel_kode,kelas,fase,penerbit,tahun,versi,isbn,url,lingkup_izin
REF-PANDUAN-ROOT,panduan_resmi,Panduan Mata Pelajaran - Kemendikdasmen,,1-6,A-C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,live-index,,https://kurikulum.kemendikdasmen.go.id/panduan-mapel,metadata_dan_tautan
REF-PANDUAN-PP,panduan_resmi,Panduan Mata Pelajaran Pendidikan Pancasila,PP,1-6,A-C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,Revisi 3,,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/2.%20Final%20Panduan%20Mata%20Pelajaran%20Pendidikan%20Pancasila_12_09_2025_Revisi%203.pdf,metadata_dan_tautan
REF-PANDUAN-IPAS,panduan_resmi,Panduan Mata Pelajaran IPAS,IPAS,3-6,B-C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,Revisi 4,,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/7.%20Final%20Panduan%20Mata%20Pelajaran%20IPAS_03_10_2025_Revisi%204.pdf,metadata_dan_tautan
REF-PANDUAN-PJOK,panduan_resmi,Panduan Mata Pelajaran PJOK,PJOK,1-6,A-C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,2025,,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/Panduan%20Mata%20Pelajaran%20PJOK.pdf,metadata_dan_tautan
REF-PANDUAN-SMUS,panduan_resmi,Panduan Mata Pelajaran Seni Musik,SMUS,1-6,A-C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,Revisi 3,,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/19.%20Final%20Panduan%20Mata%20Pelajaran%20Seni%20Musik_13_09_2025_Revisi%203.pdf,metadata_dan_tautan
REF-PANDUAN-KKA,panduan_resmi,Panduan Mata Pelajaran Koding dan Kecerdasan Artifisial,KKA,5-6,C,"Pusat Kurikulum dan Pembelajaran, Kemendikdasmen",2025,Revisi 3,,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/33.%20Final%20Panduan%20Mata%20Pelajaran%20Panduan%20Mata%20Pelajaran%20Koding%20dan%20Kecerdasan%20Artifisial_12_Sep_2025_revisi%203.pdf,metadata_dan_tautan
REF-SIBI-ROOT,katalog_resmi,SIBI - Katalog Buku Sekolah,,1-6,A-C,Kemendikdasmen,,live,,https://buku.kemendikdasmen.go.id/katalog/,metadata_dan_tautan
